id,name,location,season,year
38,2010 Winter,Vancouver,Winter,2010
14,1924 Summer,Paris,Summer,1924
1,2012 Summer,London,Summer,2012
0,1992 Summer,Barcelona,Summer,1992
9,1952 Summer,Helsinki,Summer,1952
32,1956 Summer,Melbourne,Summer,1956
30,1952 Winter,Oslo,Winter,1952
33,1960 Summer,Roma,Summer,1960
23,1964 Winter,Innsbruck,Winter,1964
28,1988 Summer,Seoul,Summer,1988
4,1988 Winter,Calgary,Winter,1988
34,1928 Summer,Amsterdam,Summer,1928
25,1984 Summer,Los Angeles,Summer,1984
35,1976 Summer,Montreal,Summer,1976
16,1948 Summer,London,Summer,1948
18,2006 Winter,Torino,Winter,2006
29,1936 Summer,Berlin,Summer,1936
19,2008 Summer,Beijing,Summer,2008
24,1984 Winter,Sarajevo,Winter,1984
5,1992 Winter,Albertville,Winter,1992
7,1932 Summer,Los Angeles,Summer,1932
31,1956 Winter,Cortina d'Ampezzo,Winter,1956
41,1972 Winter,Sapporo,Winter,1972
13,1912 Summer,Stockholm,Summer,1912
37,1964 Summer,Tokyo,Summer,1964
43,1924 Winter,Chamonix,Winter,1924
47,1948 Winter,Sankt Moritz,Winter,1948
21,2004 Summer,Athina,Summer,2004
36,1980 Summer,Moskva,Summer,1980
50,1896 Summer,Athina,Summer,1896
48,1932 Winter,Lake Placid,Winter,1932
51,1956 Summer,Stockholm,Summer,1956
26,1968 Summer,Mexico City,Summer,1968
3,1900 Summer,Paris,Summer,1900
49,1936 Winter,Garmisch-Partenkirchen,Winter,1936
39,1968 Winter,Grenoble,Winter,1968
27,1972 Summer,Munich,Summer,1972
2,1920 Summer,Antwerpen,Summer,1920
8,2002 Winter,Salt Lake City,Winter,2002
40,1906 Summer,Athina,Summer,1906
20,2016 Summer,Rio de Janeiro,Summer,2016
46,1908 Summer,London,Summer,1908
11,2000 Summer,Sydney,Summer,2000
42,1976 Winter,Innsbruck,Winter,1976
15,2014 Winter,Sochi,Winter,2014
22,1960 Winter,Squaw Valley,Winter,1960
12,1996 Summer,Atlanta,Summer,1996
6,1994 Winter,Lillehammer,Winter,1994
44,1904 Summer,St. Louis,Summer,1904
17,1998 Winter,Nagano,Winter,1998
45,1928 Winter,Sankt Moritz,Winter,1928
10,1980 Winter,Lake Placid,Winter,1980
